epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,15826.2,1.32702,0.84877,1.25762,0.89897,0.77943,0.86581,0.55253,1.32264,0.70538,1.23693,0.007921,0.007921,0.007921
44,16192.7,1.30863,0.84751,1.25296,0.90248,0.77684,0.86556,0.55216,1.32249,0.70136,1.23612,0.0078715,0.0078715,0.0078715
45,16559.6,1.32433,0.84656,1.25835,0.90117,0.7793,0.86496,0.55182,1.32305,0.69981,1.23516,0.007822,0.007822,0.007822
46,16925.6,1.31869,0.84735,1.2576,0.90027,0.77791,0.86363,0.55155,1.32292,0.69583,1.23309,0.0077725,0.0077725,0.0077725
47,17291.9,1.31472,0.8428,1.25794,0.89683,0.77838,0.86231,0.55141,1.32317,0.69193,1.23158,0.007723,0.007723,0.007723
48,17657.6,1.3046,0.83112,1.24766,0.89677,0.77522,0.86,0.54978,1.32425,0.69025,1.23004,0.0076735,0.0076735,0.0076735
49,18024,1.31936,0.84436,1.25682,0.89833,0.7747,0.85884,0.54926,1.32446,0.68702,1.22878,0.007624,0.007624,0.007624
50,18392.4,1.31558,0.83486,1.25257,0.90079,0.77338,0.85742,0.54829,1.32616,0.68497,1.22864,0.0075745,0.0075745,0.0075745
51,18758,1.31121,0.84216,1.25155,0.89945,0.77312,0.85494,0.54701,1.32755,0.68513,1.22795,0.007525,0.007525,0.007525
52,19124,1.31326,0.83177,1.25336,0.8992,0.7726,0.85358,0.54607,1.32899,0.6878,1.22761,0.0074755,0.0074755,0.0074755
53,19489.7,1.30581,0.82599,1.24621,0.90277,0.76957,0.85171,0.5454,1.33167,0.69271,1.22806,0.007426,0.007426,0.007426
54,19855.1,1.3141,0.83357,1.25181,0.9038,0.77017,0.85179,0.54494,1.33187,0.69497,1.22797,0.0073765,0.0073765,0.0073765
55,20221.3,1.30679,0.82903,1.25312,0.90457,0.76957,0.85185,0.54524,1.3309,0.69398,1.22733,0.007327,0.007327,0.007327
56,20588.5,1.31574,0.8274,1.25375,0.90573,0.76996,0.85256,0.54471,1.33139,0.69625,1.22743,0.0072775,0.0072775,0.0072775
57,20955.5,1.30512,0.8266,1.24906,0.9066,0.77018,0.85265,0.54452,1.33159,0.69587,1.22712,0.007228,0.007228,0.007228
58,21322.9,1.30247,0.82283,1.2443,0.9071,0.77036,0.8526,0.54477,1.33148,0.69592,1.22678,0.0071785,0.0071785,0.0071785
59,21688.6,1.30278,0.8295,1.24472,0.90626,0.77221,0.85323,0.54531,1.33126,0.69625,1.22657,0.007129,0.007129,0.007129
