epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,20217.9,1.13506,0.63103,1.14467,0.93648,0.86758,0.93215,0.64622,1.12529,0.51622,1.14013,0.008614,0.008614,0.008614
44,20697.1,1.12665,0.62152,1.14509,0.93727,0.86758,0.93228,0.64693,1.1251,0.51571,1.14007,0.008581,0.008581,0.008581
45,21155.7,1.12508,0.62203,1.1386,0.9405,0.86595,0.93247,0.64713,1.12411,0.51455,1.13982,0.008548,0.008548,0.008548
46,21595.9,1.11996,0.62107,1.13882,0.93863,0.86803,0.9329,0.64788,1.12305,0.51343,1.13927,0.008515,0.008515,0.008515
47,22076.7,1.11902,0.61024,1.13465,0.93718,0.86994,0.93335,0.64822,1.1226,0.51256,1.13925,0.008482,0.008482,0.008482
48,22559.4,1.11826,0.61857,1.13624,0.93842,0.86915,0.93327,0.64891,1.12137,0.51122,1.13868,0.008449,0.008449,0.008449
49,23036.9,1.11239,0.61344,1.13222,0.93693,0.87034,0.9338,0.64908,1.1201,0.51017,1.13792,0.008416,0.008416,0.008416
50,23512.9,1.11252,0.6102,1.13339,0.93827,0.87057,0.93424,0.64975,1.11891,0.50934,1.13738,0.008383,0.008383,0.008383
51,23924.5,1.11269,0.60959,1.13513,0.93804,0.87121,0.93462,0.65038,1.118,0.50819,1.13707,0.00835,0.00835,0.00835
52,24401.9,1.11079,0.60357,1.1321,0.93801,0.87074,0.93441,0.65053,1.11713,0.50757,1.13652,0.008317,0.008317,0.008317
53,24880.4,1.10111,0.60421,1.1257,0.93782,0.87175,0.93478,0.65129,1.11595,0.50701,1.13605,0.008284,0.008284,0.008284
54,25357.4,1.10555,0.60269,1.12852,0.94023,0.87086,0.93489,0.65152,1.11595,0.50624,1.13636,0.008251,0.008251,0.008251
55,25837.1,1.0994,0.59796,1.12592,0.9399,0.87204,0.93518,0.65207,1.11485,0.5051,1.13591,0.008218,0.008218,0.008218
56,26301.2,1.10422,0.60162,1.12691,0.9385,0.87204,0.93503,0.65211,1.11413,0.5045,1.13543,0.008185,0.008185,0.008185
57,26754.5,1.09441,0.59519,1.12281,0.93923,0.87178,0.93474,0.65204,1.11324,0.50366,1.13503,0.008152,0.008152,0.008152
58,27231.8,1.08718,0.58927,1.11707,0.94034,0.87126,0.93504,0.65219,1.11291,0.50297,1.13487,0.008119,0.008119,0.008119
59,27710.1,1.08435,0.58475,1.11904,0.9389,0.87218,0.935,0.65274,1.11242,0.50243,1.13464,0.008086,0.008086,0.008086
